streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"2-й Грайвороновский проезд, 44 к2",55.726487,37.747693,115185.0,10309.0,20.16,26.26,25.25,16.74,8.47,3.12,57.44,42.56,20.0,18.15,32.5,https://domclick.ru/card/sale__flat__2066980648
"Кастанаевская улица, 66",55.732286,37.455666,146088.0,10820.0,11.9,22.92,31.62,19.05,9.67,4.84,54.84,45.16,26.31,22.82,50.68,https://domclick.ru/card/sale__flat__2067002012
"улица Лётчика Грицевца, 5",55.623649,37.305579,120134.0,10662.0,12.28,22.73,33.49,18.05,8.69,4.76,47.99,52.01,39.65,26.08,46.71,https://domclick.ru/card/sale__flat__2067017864
"Корабельная улица, 6",55.679686,37.695639,111746.0,11334.0,9.64,16.34,30.53,23.16,12.96,7.37,49.7,50.3,29.64,21.44,43.48,https://domclick.ru/card/sale__flat__2067096904
"Ясеневая улица, 12 к1",55.601268,37.727487,145474.0,12626.0,11.82,23.52,36.02,17.46,7.33,3.86,49.32,50.68,36.14,24.11,44.79,https://domclick.ru/card/sale__flat__2067130562
"улица Кашёнкин Луг, 8 к3",55.825923,37.596169,124871.0,10826.0,12.92,19.92,32.77,21.21,8.54,4.64,54.38,45.62,33.87,25.18,42.6,https://domclick.ru/card/sale__flat__2067138439
"Производственная улица, 10 к2",55.643151,37.384984,141080.0,6855.0,11.67,24.52,36.3,16.54,7.45,3.52,48.33,51.67,35.37,27.8,46.04,https://domclick.ru/card/sale__flat__2067169243
"Луговая улица, 20в к3",55.539067,37.184307,230703.0,25287.0,2.7,13.51,37.84,24.32,16.22,5.41,40.54,59.46,56.76,18.92,83.78,https://domclick.ru/card/sale__flat__2067240733
"Краснобогатырская улица, 40",55.809188,37.701402,103367.0,9226.0,9.18,16.71,30.26,21.98,14.69,7.17,51.14,48.86,25.19,20.85,43.91,https://domclick.ru/card/sale__flat__2067240799
"улица Толбухина, 13 к1",55.723126,37.400144,93132.0,9798.0,13.73,22.48,27.85,20.23,10.87,4.84,56.57,43.43,21.56,16.95,35.06,https://domclick.ru/card/sale__flat__2067252833
