title,lat,lon,avg_price,capacity
Mr.Help&friends,55.772871,37.629498,1350,100
Muchachos,55.763774,37.683331,1000,30
Mun,55.75571,37.510802,1550,40
Murph,55.765628,37.610616,1700,25
Nagoya,55.728682,37.624125,700,20
Nagoya,55.76846,37.684263,500,70
Namdin,55.754846,37.509076,1200,40
Navat,55.752236,37.591932,1350,280
Netizen,55.745984,37.682622,650,50
Ngon,55.777123,37.607081,750,42
Nice.Cafe,55.720097,37.551948,350,30
Nice.Cafe,55.718973,37.555531,350,35
Nicepricecafe,55.780012,37.633527,,
Nicepricecafe,55.768708,37.644812,,
Nicepricecafe,55.749399,37.583326,,
Nicepricecafe,55.738193,37.678918,,
Nicepricecafe,55.733922,37.62744,,
Niqa,55.760057,37.601414,1650,50
Nobo,55.783167,37.598543,1700,30
Noor electro,55.767014,37.600804,2000,300
Norme,55.749033,37.539368,750,
Norme,55.754744,37.566511,400,
Norme,55.747115,37.539145,,
Norme,55.726495,37.572204,1250,29
Norme,55.773709,37.606471,800,20
NoSugar,55.774013,37.578229,1700,30
Nothing Fancy,55.726899,37.570193,1350,80
Novikov School,55.737959,37.614301,1500,30
Now,55.730961,37.644204,1300,12
Nym Kitchen,55.744176,37.588811,400,15
Ofis,55.767466,37.564585,1000,24
Oh my toast,55.746568,37.581586,1000,
Okinawa by Bluefin,55.757929,37.582805,700,20
Old Jack English,55.767948,37.629093,2000,70
Oliva Kitchen,55.781722,37.666272,,
On Sight,55.758788,37.647493,999,
One Special,55.76087,37.666303,1050,10
Parka,55.757509,37.634343,1000,120
Parka,55.741499,37.628413,1000,120
PastaSegreto,55.744274,37.630395,1500,
Paula coffee,55.762736,37.635143,950,
Pausa caffe,55.744186,37.679712,700,35
Pauwel kwak,55.758051,37.638958,1200,200
Pho,55.791735,37.583376,350,40
Pho city,55.793985,37.612535,,
Pho city,55.771574,37.682387,600,25
Pho city,55.793649,37.58001,,
Pho city,55.73541,37.613844,600,50
Pho city,55.771559,37.632649,600,25
Pho city,55.747037,37.654422,500,45
Pho city,55.769367,37.620857,750,25
Pho Diem,55.728634,37.624146,650,24
Pho Ly Quoc Su,55.781783,37.60062,500,28
Pho Viet,55.740483,37.632522,800,20
Pho-house,55.764441,37.657737,1500,35
PhoBo,55.751395,37.59739,,
Phoenix wine Foodlounge,55.769109,37.671653,,
Pinzeria by Bontempi,55.73182,37.644268,1850,120
Pinzeria by Bontempi,55.766807,37.624205,1850,
Pinzeria by Bontempi,55.727629,37.567531,1850,13
Pinzeria by Bontempi,55.74602,37.602311,1850,90
Pir&rog,55.754864,37.649174,1100,30
Pita,55.749628,37.537818,550,18
Pivbar,55.769902,37.597116,1200,110
Pivzavod77,55.77891,37.674061,1200,150
Pizza Maestrello,55.765528,37.592268,1150,
Pizza terrapieno,55.737274,37.640081,1450,25
