house_id,lat,lon,price_per_m2,building_type,object_type,levels,ads_count
607839.0,55.67693,37.744944,217142.85714285713,2,0,12,1
607940.0,55.6642706,37.5917396,288089.2001489927,5,0,12,17
608000.0,55.750793,37.77596,197917.25961399646,0,0,5,3
608061.0,55.5884693,37.3772913,203797.7905416696,0,0,17,7
608080.0,55.723804,37.662003,300198.4913192151,0,0,9,3
608084.0,55.7203386,37.5713083,415255.1714509285,4,0,5,3
608149.0,55.7844981,37.5286624,409902.30479276116,3,0,12,15
608149.0,55.784552,37.528756,374611.13549059315,3,0,12,13
608157.0,55.6541868,37.6337761,290871.2252690038,0,0,12,2
608184.0,55.864365,37.61654,222698.79683734686,0,0,9,7
608226.0,55.7163253,37.4574768,145000.0,2,0,25,1
608226.0,55.7177636,37.458719,218867.9245283019,2,0,9,1
608230.0,55.6745788,37.4912069,351511.32236407656,0,0,14,7
608268.0,55.7824715,37.7111403,298733.7843014981,0,0,5,2
608388.0,55.7198195,37.6174862,389830.5084745763,0,0,6,2
608535.0,55.87095,37.569135,203036.6557722013,0,0,14,10
608620.0,55.80242,37.4121377,378682.62663396145,3,0,29,11
608700.0,55.7260608,37.671112,285076.21489207406,4,0,5,11
608720.0,55.804886,37.795484,239459.7828472302,0,0,5,2
608720.0,55.8049849,37.7953972,237500.0,0,0,5,1
608758.0,55.789265,37.79047,313751.8474632704,0,0,14,5
608781.0,55.718964,37.735638,202226.275556811,0,0,9,7
608814.0,55.723957,37.405598,219286.60871509984,0,0,5,6
608850.0,55.587194,37.596687,240676.1542215429,0,0,16,24
608851.0,55.820561,37.516063,277142.85714285716,5,0,14,1
608871.0,55.2919543,37.1163118,173561.63122526006,2,0,17,2
608948.0,55.662222,37.732656,218517.2798921746,3,2,25,378
608963.0,55.871622,37.528918,224814.1417757947,0,0,22,2
609061.0,55.845673,37.499228,298793.8596491228,5,0,12,4
609094.0,55.86968,37.599545,242374.3935173293,5,0,16,9
609284.0,55.710976,37.893167,214936.56621649925,0,0,12,18
609287.0,55.6830705,37.5466731,368272.8465286692,0,0,12,6
609482.0,55.7487912,37.8117088,272089.9974180029,5,0,16,4
609519.0,55.634253,37.5088867,257673.4360092681,1,0,12,2
609561.0,55.8874879,37.6066035,265306.1224489796,2,0,9,1
609561.0,55.8875814,37.6066084,255744.0210145352,0,0,9,5
609652.0,55.6151924,37.2621763,254054.05405405405,0,0,8,1
609666.0,55.8886658,37.5741691,210829.13599380085,0,0,25,2
609666.0,55.8905813,37.581505,176709.12928618296,3,2,25,336
609682.0,55.6422402,37.5963215,275992.9999315471,0,0,17,43
609759.0,55.59847,37.669918,170916.90307784022,2,0,16,10
609759.0,55.5984796,37.6698974,147977.9411764706,2,0,16,1
609887.0,55.8191713,37.7510797,258500.0,0,0,24,1
609926.0,55.7730165,37.7059937,310296.73413223523,3,0,16,5
610000.0,55.704473,37.514922,524968.8693407967,3,0,17,59
610000.0,55.7045172,37.5148341,433333.3333333333,3,0,17,1
610140.0,55.830407,37.580104,224202.24752618375,0,0,14,13
610237.0,55.866238,37.52825,208774.59115796385,3,0,12,9
610275.0,55.6169564,37.539674,241379.3103448276,3,0,9,1
610275.0,55.617027,37.539706,233198.43855108749,3,0,9,19
610322.0,55.7632333,37.7170133,284009.54653937946,2,0,5,1
610736.0,55.7642962,37.5996313,354674.23494570586,0,0,4,2
610787.0,55.6724675,37.7458892,187153.93133997786,0,0,5,1
610843.0,55.8939661,37.5406139,245901.63934426228,4,0,5,1
610861.0,55.6432096,37.7400732,219522.3311546841,2,0,17,4
610899.0,55.650669,37.5613189,269761.9797756714,0,0,12,7
610954.0,55.8594987,37.4436284,252236.62663494758,2,0,12,14
611026.0,55.894429,37.577696,230226.83828347214,2,0,16,4
611156.0,55.84657,37.57953,240531.045751634,0,0,8,5
611205.0,55.866,37.49809,230456.34920634923,3,0,12,2
611373.0,55.858574,37.60896,227170.06740866587,0,0,12,9
611577.0,55.8189086,37.8719276,204871.0601719198,0,0,4,1
611640.0,55.7532383,37.5361401,337423.40926944226,0,0,5,3
