address,lat,lon,year,total_apartments,inhab_count,under_24_num,between_25_34_num,between_35_44_num,between_45_54_num,between_55_64_num,over_65_num,men_num,women_num,with_children_num,with_pets_num,with_car_num,median_income_pop,avg_hcs_cost_pop
"Россия, Москва, Трифоновская улица, 49",55.789107,37.627804,1964.0,134.0,313.7023923444976,20.79846861244019,54.86654842105263,103.2708275598086,74.37883722488039,37.01688229665072,23.37082822966508,170.4972502392345,143.2051421052632,98.7221428708134,81.18617913875599,214.3214744497608,45376423.64784689,4214277.938755982
"Россия, Москва, Суздальская улица, 42 к2",55.745604,37.876842,1987.0,134.0,306.8827751196173,32.40682105263159,52.87590215311006,95.2564133971292,62.57339784688997,42.44188779904307,21.3283528708134,138.4348198564594,168.4479552631579,91.94207942583735,82.8276610047847,111.0608763157895,32024138.23205742,3050414.784688996
"Россия, Москва, Малая Пироговская улица, 21",55.727367,37.56666,1961.0,134.0,281.4,51.63690000000001,67.98624000000001,76.56894000000001,51.27108,22.96224,11.00274,148.97316,132.42684,68.09880000000001,56.56140000000001,134.67804,49622920.2,4631562.600000001
"Россия, Москва, Профсоюзная улица, 30 к4",55.678011,37.559451,2003.0,134.0,306.8827751196173,36.089414354067,57.01881961722489,90.25422416267944,55.11614641148327,47.50545358851676,20.89871698564594,136.8083411483254,170.0744339712919,75.0635267942584,54.16480980861245,95.96224377990433,30699018.40909092,3199866.69617225
"Россия, Москва, Варшавское шоссе, 85 к1",55.655,37.620285,1959.0,134.0,320.522009569378,48.43087564593302,74.42521062200959,84.00881870813399,63.97619311004786,35.12921224880384,14.51964703349283,175.4858002392345,145.0362093301435,75.99576846889953,62.72615727272728,115.2276624401914,31952518.61196173,3129576.901435407
"Россия, Москва, Мичуринский проспект, 19 к3",55.696534,37.507124,1998.0,134.0,697.8741626794259,82.07000153110047,76.20785856459331,246.2797920095694,134.899075645933,88.0019319138756,70.34571559808613,199.382648277512,498.4915144019139,322.5574379904307,175.9340764114833,340.1438668899522,118208717.1712919,9216126.192344498
"Россия, Москва, Рязанский проспект, 53 к2",55.724426,37.768704,2002.0,134.0,313.7023923444976,35.95029416267943,76.88845636363638,105.4040038277512,55.80765559808613,34.72685483253589,4.956497799043063,192.1740855502393,121.5283067942584,88.02489129186603,91.75794976076556,198.3853929186603,50353939.50717704,3398651.718660288
"Россия, Москва, Большая Академическая улица, 9 к1",55.821472,37.524049,2001.0,134.0,304.6095693779905,37.74112564593302,73.50228909090909,93.21052822966509,59.67301464114833,28.99883100478469,11.45331980861244,186.8170488995216,117.7925204784689,78.71111272727273,60.6782262200957,141.5216059330144,44288099.12057417,3665976.167464115
"Россия, Москва, 3-я Хорошёвская улица, 21 к6",55.786198,37.497947,2018.0,134.0,302.3363636363637,38.75952181818182,77.94231454545455,105.0316527272727,48.76685545454546,23.00779727272727,8.828221818181818,174.2969136363637,128.03945,86.34726545454546,56.89970363636365,164.6826172727273,51676842.95454546,4646607.572727273
"Россия, Москва, улица Академика Челомея, 2",55.663111,37.535233,1984.0,134.0,306.8827751196173,39.00480071770336,63.77024066985648,93.87544090909093,59.16699904306221,32.03856172248804,18.99604377990431,201.1309708133972,105.7518043062201,80.24984569377992,57.69396172248805,165.0722447368422,37159207.70813398,3055324.90909091
"Россия, Москва, пос. Коммунарка, улица Александры Монаховой, 5 к3",55.574955,37.473587,2015.0,134.0,108.0,15.9408,27.054,32.3568,18.9108,9.882,3.8556,62.7588,45.2412,25.9956,16.578,40.2408,11728584.0,1309608.0
"Россия, Москва, Осенний бульвар, 12 к5",55.758904,37.412514,1985.0,134.0,306.8827751196173,44.68213205741628,58.27703899521531,89.02669306220098,59.93420598086126,32.25337966507178,22.70932535885168,148.0402507177034,158.8425244019139,86.78644880382777,63.67817583732059,124.5944066985646,36445705.25598087,3344408.483253589
"Россия, Москва, улица Барышиха, 36",55.85069,37.343973,1993.0,135.0,309.1559808612441,23.27944535885168,49.99052210526317,116.057155215311,53.05116631578949,42.26162258373207,24.51606928229665,133.1843965550239,175.9715843062201,118.2521626794259,86.81099942583732,137.667158277512,35976790.64880384,3277053.397129187
"Россия, Москва, Ленинский проспект, 13",55.722021,37.60207,1939.0,135.0,463.0,89.0349,84.5901,124.6396,102.4156,42.2719,20.0479,164.7354,298.2646,120.1948,86.8125,171.4026,69701409.0,4867519.0
