lat,lon,price_per_m2,building_type,object_type,levels,ads_count
55.475169,37.525208,285790.42745975906,2,1,12,3
55.47518027108,37.5164624497673,285959.14439183247,0,1,9,14
55.475505,37.304375,268965.5172413793,1,1,5,1
55.475613,37.524013,320510.61714799836,2,1,13,5
55.47574,37.518246,273390.5446490506,0,1,9,25
55.476041,37.525477,323127.9762859385,0,1,9,5
55.476082,37.305057,185689.9488926746,1,1,5,1
55.476296,37.530346,316227.0864856846,0,1,13,3
55.476342,37.543084,205696.20253164557,1,1,9,2
55.476975,37.542761,254237.28813559323,0,1,12,1
55.477077,37.526537,261291.46495069904,0,1,16,5
55.477332,37.528361,279558.5412667946,0,1,13,2
55.477556,37.297395,173831.77570093458,1,1,12,1
55.4776671430164,37.5277709140163,337760.8081395626,0,1,13,2
55.478628,37.298176,302593.6599423631,1,1,16,1
55.479403,37.394619,279552.71565495204,1,1,9,1
55.481087,37.300117,279202.27920227917,1,1,16,1
55.481337,37.386427,235945.94594594595,0,1,4,1
55.48140268040167,37.386296096597874,235340.0,2,1,5,5
55.481546,37.295023,211713.15789473685,0,1,14,2
55.48181090412023,37.38806635454981,251680.0,2,1,5,3
55.482265,37.498824,187774.14739867786,0,1,12,11
55.484107,37.274281,156503.59378622766,3,1,4,1
55.48425,36.917246,174826.94856839871,0,1,3,2
55.484551,37.305004,234230.78743511665,0,1,17,2
55.484556,36.917731,173363.11239193083,0,1,3,2
55.485005,37.499893,243243.24324324325,3,1,10,1
55.485188,36.91553,196560.19656019655,1,1,3,1
55.485219,36.917102,191224.47562161408,0,1,3,2
55.485449,37.499561,296703.2967032967,3,1,9,1
55.485698,37.308202,261960.78431372548,0,1,17,2
55.485862,36.916042,301059.0015128593,0,1,3,1
55.485923,36.917713,169002.46913580247,0,1,3,2
55.48601,37.49939,222404.84142289474,3,1,9,3
55.48605,36.916635,191002.86532951292,2,1,3,2
55.486061,36.915054,164473.68421052632,1,1,3,1
55.486091,37.297781,230357.14285714287,0,1,14,1
55.486448,37.306522,239655.1724137931,0,1,16,1
55.486703,37.299542,348837.20930232556,0,1,12,1
55.486821,37.30689,246153.84615384616,1,1,16,1
55.486984,36.918018,176440.93927893738,0,1,3,2
55.487142,37.31201,221010.33295063148,0,1,3,1
55.487356,36.916204,147627.4165202109,3,1,3,1
55.487428,37.302857,212588.9328063241,0,1,9,2
55.487734,37.335358,195303.7818601746,2,1,16,5
55.487994,37.296479,186177.7150916784,3,1,9,1
55.488101,37.334307,193350.0,0,1,14,2
55.488412,37.332645,191996.32352941178,0,1,16,8
55.488621,37.338017,216142.04797326776,2,1,14,3
55.488626,37.297296,255617.06284597854,0,1,9,2
55.488626,37.33613,238691.34629290435,2,1,14,3
55.488698,37.305022,260400.61633281969,1,1,12,1
55.488728,37.294215,264550.2645502646,2,1,17,2
