lat,lon,price_per_m2,levels,ads_count
55.52888,37.516341,1237.1134020618558,4,1
55.530653,37.521471,977.7227722772277,9,1
55.530918,37.51821,1075.4716981132076,10,1
55.530918,37.523276,1034.4827586206898,6,1
55.530923,37.523285,986.8421052631579,9,1
55.531305,37.386535,1405.7058591916164,16,6
55.531545,37.378603,1136.3636363636363,8,1
55.53157,37.526771,1707.3170731707316,6,1
55.531993,37.384702,1170.2788138575324,16,5
55.532029,37.502786,1125.0,10,1
55.532284,37.524902,1083.0324909747292,8,1
55.532518,37.377471,1050.5420841688083,14,5
55.532676,37.382932,1243.9988215189828,14,8
55.532966,37.527265,1131.7895683453237,9,2
55.533068,37.447638,681.8181818181819,9,1
55.533216,37.449327,1125.0,17,1
55.533241,37.4508,1229.1666666666667,17,1
55.53343,37.376447,1250.0,14,1
55.533516,37.514275,1358.974358974359,9,1
55.533659,37.528855,1243.5897435897436,13,1
55.533837,37.535287,1160.7142857142858,9,1
55.533878,37.526429,1303.3175355450237,13,1
55.534658,37.500953,1315.7894736842106,14,1
55.535116,37.517554,1155.5555555555557,10,1
55.535345,37.532161,1181.5661815661815,12,2
55.535554,37.502274,1361.8677042801557,22,1
55.535707,37.579394,1000.0,17,1
55.535916,37.161632,767.4418604651163,4,1
55.536176,37.539608,1210.5263157894738,5,1
55.536262,37.184728,250.0,9,1
55.536517,37.157653,1225.8064516129032,5,1
55.53666,37.507834,1454.5454545454545,24,1
55.536751,37.505777,1212.7104910871556,24,3
55.536797,37.156377,1000.0,3,1
55.537429,37.506334,1473.6842105263158,25,1
55.537429,37.540111,1063.095238095238,12,2
55.537607,37.541305,1165.5677655677655,12,2
55.537755,37.505633,1153.8461538461538,7,1
55.537893,37.511436,1652.8925619834713,17,1
55.53827,37.51017,1070.6018518518517,17,2
55.538392,37.507169,1250.0,7,1
55.539171,37.535781,1309.5238095238096,7,1
55.539227,37.182734,2500.0,7,1
55.539431,37.534855,1111.088888888889,9,1
55.539446,37.517141,1375.0,9,1
55.539548,37.538889,1428.5714285714287,10,1
55.539625,37.460179,1478.8222146587339,16,11
55.539788,37.54091,1078.4313725490197,10,1
55.539823,37.519413,1313.057620817844,9,2
55.539884,37.451887,1333.3333333333333,14,1
