club_key,green_pct
ddxfitness_площадьюности1,42.02848
ddxfitness_причальныйпроезд10к2,0.18244
ddxfitness_прокатнаяулица2,6.468107
ddxfitness_проспектандропова27,0.24814
ddxfitness_проспектмира211,12.761093
ddxfitness_профсоюзнаяулица126к2,0.0
ddxfitness_рождественскаяулица11,0.0
ddxfitness_сиреневыйбульвар31,0.0
ddxfitness_страстнойбульвар10к1,11.051081
ddxfitness_сходненскаяулица56,11.18039
ddxfitness_улицаавиаконструкторамиля3а,0.842314
ddxfitness_улицаавиаторов3б,3.103934
ddxfitness_улицаавиатороввл5,3.103934
ddxfitness_улицаакадемикаалиханова4,3.354701
ddxfitness_улицаборисовскиепруды26к2,0.0
ddxfitness_улицабулатниковская9а,17.63799
ddxfitness_улицадекабристов17,3.561288
ddxfitness_улицалескова14,0.097692
ddxfitness_улицалётчикабабушкина26,26.381468
ddxfitness_улицамаршалачуйкова3,2.151711
ddxfitness_улицамиклухомаклая36а,4.570833
ddxfitness_улицановыйарбат11ст1,1.441362
ddxfitness_улицаполяны8,55.240942
ddxfitness_улицарождественская11,0.0
ddxfitness_улицасалямаадиля4,9.901013
ddxfitness_улицасалямаадилявл4,9.901013
ddxfitness_улицасокольническийвал1б,63.530544
ddxfitness_улицаусиевича12,11.24016
ddxfitness_улицашаболовкавл56,4.298624
ddxfitness_ходынскийбульвар4,7.725837
ddxfitness_хорошёвскоешоссе27,0.0
ddxfitness_чонгарскийбульвар7,3.239136
ddxfitness_шоссеэнтузиастов12ст2,0.597366
ddxfitness_щукинскаяулицавл42,30.987366
ddxfitness_элеваторнаяулица1,0.0
decagym_автозаводскаяулица23ак2,0.0
deltasport_беломорскаяулица9,0.444469
deltasport_скандинавскийбульвар8,3.128255
deltasportpro_скандинавскийбульвар8,3.128255
demsstudio_зеленоградк354,11.390772
deviclub_1йпереулоктружеников14ст2,0.632858
diamond_11яулицатекстильщиков2,13.707631
djulifit_малаялетовскаяулица8,13.486273
dllclub_большаятульскаяулица13,3.307094
dmfitness_мкад73километр7,58.852441
dmsport_4ятверскаяямскаяулица2/11ст1,8.606272
dmsport_кудринскаяплощадь1,5.640585
dmsportspa_4ятверскаяямскаяулица2/11ст1,8.606272
dnkfitness_зубаревпереулок15к1,0.0
dojo#1_новаябасманнаяулица31ст1,3.762552
dojo_нежинскаяулицавл11,31.025305
dojock№1_улицаменжинского3,2.399948
dojosportclub_веернаяулица30к6,28.99651
dominprime_нижняякрасносельскаяулица35ст48,1.175408
dopilates_флотскаяулица15к2,0.0
dorfit_кавказскийбульвар26,38.133546
dostretch_братиславскаяулица6,16.396587
dostretch_винницкаяулица4,1.526036
dostretch_митинскаяулица27аст1,5.831109
